Sentence,Anger,Fear,Joy,Sadness,Surprise
", ...",1,0,0,0,0
!,1,1,0,0,1
... And I don't think we need to discuss the Trinity any more .,1,0,0,0,0
* So get up out of your bed,1,0,0,0,0
A confession that you hired [PERSON] ... and are responsible for my father's murder .,1,0,0,1,0
A dead man has one half - hour to raise his roll outside and get back in the game .,1,0,0,0,0
A guy that's talking about he's gonna solve all your problems .,1,0,0,0,0
A guy who was a pain in the neck even before I carried his stuff .,1,0,0,0,0
"A hundred of these are produced every day and sent to sweatshops where urban slaves prepare this poison for our friends , our loved ones , our children .",1,0,0,0,0
A lady wouldn't work for this outfit .,1,0,0,0,0
A little dicey doing a background on an FBI agent .,1,0,0,0,0
A little restraint ?,1,0,0,0,0
A little rush ?,1,0,0,0,0
"A lost decade , but it was worth it to make your father pay for my loss .",1,0,0,0,0
A lot of junk all right ...,1,0,0,0,0
A lot of people are going to pay for this night .,1,0,0,0,0
A lot of you incumbents will be in danger of losing your seats .,1,0,0,0,0
A man is going to die .,1,0,0,1,0
A map's no good in the outback !,1,0,0,0,0
"A perfect place to lose anybody , but this little doll's our cover story .",1,0,0,0,0
A traitor !,1,0,0,0,0
A woman who drinks is bad enough and I will not stand for a woman cursing and blaspheming God .,1,0,0,0,0
"[PERSON] , why don't you just ... Lighten up .",1,0,0,0,0
About time !,1,0,0,0,0
Absolute disregard to not show up .,1,0,0,0,0
"Acknowledge , over .",1,0,0,0,0
"Acts of homicide and cannibalism reported through the afternoon are contributable , at least in part , to these reactivated bodies .",1,0,0,1,0
"[PERSON] , I don't think it'd be so bad if I taught him how to throw a few ...",1,0,0,0,0
"[PERSON] , what did I do ?",1,0,0,0,0
"[PERSON] , where's the kid ?",1,0,0,0,0
"After that , I don't care if you've found the Holy Grail .",1,0,0,0,0
After them ! After them !,1,0,0,0,0
After them ... slowly !,1,0,0,0,0
"Ah , for fuck's sake , mate .",1,0,0,0,0
Ah ! - You should listen to your brother .,1,0,0,0,1
Ahem . Father brophy was very disturbed .,1,0,0,1,0
Ain't gonna get tied down with no girl .,1,0,0,0,0
Ain't much you can do about us .,1,0,0,0,0
Ain't nobody in the world gonna drive this except me .,1,0,0,0,0
Alas ... Scalpel .,1,0,0,0,0
"[PERSON] , will you let me finish ?",1,0,0,0,0
"All dead , you mean !",1,0,0,0,0
All hands to rescue stations !,1,1,0,0,0
All happened on your watch .,1,0,0,0,0
All I asked you is where the hell [PERSON] is .,1,0,0,0,0
All I can charge him with is riding on a train . They're gonna walk .,1,0,0,0,0
"All I know is that I'd like to meet a member of the judiciary or a member of Congress that thinks that this situation , the status quo is satisfactory .",1,0,0,0,0
All I want to do is make things as difficult as possible .,1,0,0,0,0
All I'm saying is maybe all the child needs is to be loved .,1,0,0,0,0
All other movements are restricted .,1,0,0,0,0
"All right , I will !",1,0,0,0,0
"All right , next time I hear it , I am taking it away .",1,0,0,0,0
"All right , not now , but you need to hear this .",1,0,0,0,0
